venue,ground,city,country
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Grange Cricket Club Ground,Edinburgh,Scotland
"Zayed Cricket Stadium, Abu Dhabi",Zayed Cricket Stadium,Abu Dhabi,UAE
"ICC Academy, Dubai",ICC Academy,Dubai,UAE
"ACA Stadium,Mangalagiri",ACA Stadium,Mangalagiri,India
"Docklands Stadium, Melbourne",Docklands Stadium,Melbourne,Australia
Al Dhaid Cricket Village,Al Dhaid Cricket Village,Al Dhaid,UAE
Willowmoore Park A Field,Willowmoore Park,Benoni,South Africa
"Moosa Cricket Stadium, Pearland",Moosa Cricket Stadium,Pearland,USA
"Observatory Lane, Rathmines",Observatory Lane,Dublin,Ireland
"Nehru Stadium, Fatorda",Nehru Stadium,Fatorda,India
Sedgars Park,Sedgars Park,Potchefstroom,South Africa
Sector 16 Stadium,Sector 16 Stadium,Chandigarh,India
Dr P.V.G. Raju ACA Sports Complex,Dr P.V.G. Raju ACA Sports Complex,Vizianagaram,India
"Cricket Stadium, Sector-16",Cricket Stadium,Chandigarh,India
Kowloon Cricket Club,Kowloon Cricket Club,Hong Kong,Hong Kong
"Sportpark Het Schootsveld, Deventer",Sportpark Het Schootsveld,Deventer,Netherlands
"Gahanga International Cricket Stadium, Rwanda",Gahanga International Cricket Stadium,Rwanda,Rwanda
"Holkar Cricket Stadium, Indore",Holkar Cricket Stadium,Indore,India
Somerset Cricket Club,Somerset Cricket Club,Somerset,England
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Vidarbha Cricket Association Stadium,Nagpur,India
Prairie View Cricket Complex,Prairie View Cricket Complex,Prairie View,USA
Udayana Cricket Ground,Udayana Cricket Ground,Bali,Indonesia
Rugby School Ground,Rugby School Ground,Rugby,England
"Maple Leaf North-East Ground, King City",Maple Leaf North-East Ground,King City,Canada
"Farmers Cricket Club Ground, St Martin",Farmers Cricket Club Ground,St Martin,Jersey
"Great Barrier Reef Arena, Mackay",Great Barrier Reef Arena,Mackay,Australia
"JU Second Campus, Salt Lake",JU Second Campus,Salt Lake,USA
"Sikh Union Club Ground, Nairobi",Sikh Union Club Ground,Nairobi,Kenya
"Whitegate Park, Blackpool",Whitegate Park,Blackpool,England
"Faleata Oval No 2, Apia",Faleata Oval No 2,Apia,Samoa
Mombasa Sports Club Ground,Mombasa Sports Club Ground,Mombasa,Kenya
St Georges Quilmes,St Georges Quilmes,Quilmes,Argentina
"Severn Cricket Field, Woodley Park",Severn Cricket Field,Woodley Park,USA
Koge Cricket Club,Koge Cricket Club,Koge,Denmark
"Gymkhana Club Ground, Dar-es-Salaam",Gymkhana Club Ground,Dar-es-Salaam,Tanzania
"SuperSport Park, Centurion",SuperSport Park,Centurion,South Africa
"Buffalo Park, East London",Buffalo Park,East London,South Africa
W.A.C.A. Ground,W.A.C.A. Ground,Perth,Australia
Western Australia Cricket Association Ground,Western Australia Cricket Association Ground,Perth,Australia
M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bengaluru,India
Galle International Stadium,Galle International Stadium,Galle,Sri Lanka
Rangiri Dambulla International Stadium,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
"County Ground, Chelmsford",County Ground,Chelmsford,England
Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium,Rajkot,India
"The Rose Bowl, Southampton",The Rose Bowl,Southampton,England
"Trent Bridge, Nottingham",Trent Bridge,Nottingham,England
"Riverside Ground, Chester-le-Street",Riverside Ground,Chester-le-Street,England
Sano International Cricket Ground,Sano International Cricket Ground,Sano,Japan
Lord's,Lord's,London,England
North-West University No1 Ground,North-West University No1 Ground,Potchefstroom,South Africa
Molyneux Park,Molyneux Park,Alexandra,New Zealand
Bankstown Oval,Bankstown Oval,Sydney,Australia
"National Cricket Stadium, Grenada",National Cricket Stadium,St George's,Grenada
Barsapara Cricket Stadium,Barsapara Cricket Stadium,Guwahati,India
National Stadium,National Stadium,Karachi,Pakistan
MA Chidambaram Stadium,MA Chidambaram Stadium,Chennai,India
"City Oval, Pietermaritzburg",City Oval,Pietermaritzburg,South Africa
Old Hararians Sports Club,Old Hararians Sports Club,Harare,Zimbabwe
"Allan Border Field, Brisbane",Allan Border Field,Brisbane,Australia
"The Village, Malahide",The Village,Malahide,Ireland
"St Helen's, Swansea",St Helen's,Swansea,Wales
"Grange Cricket Club, Raeburn Place",Grange Cricket Club Ground,Edinburgh,Scotland
"Daren Sammy National Cricket Stadium, Gros Islet",Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
VRA Ground,VRA Ground,Amstelveen,Netherlands
Gahanga International Cricket Stadium. Rwanda,Gahanga International Cricket Stadium,Rwanda,Rwanda
Uxbridge Cricket Club Ground,Uxbridge Cricket Club Ground,Uxbridge,England
"College Ground, Cheltenham",College Ground,Cheltenham,England
"De Beers Diamond Oval, Kimberley",De Beers Diamond Oval,Kimberley,South Africa
"Gymkhana Club Ground, Nairobi",Gymkhana Club Ground,Nairobi,Kenya
"Queens Sports Club, Bulawayo",Queens Sports Club,Bulawayo,Zimbabwe
"Sabina Park, Kingston, Jamaica",Sabina Park,Kingston,Jamaica
Rawalpindi Cricket Stadium,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
"Punjab Cricket Association Stadium, Mohali, Chandigarh",Punjab Cricket Association IS Bindra Stadium,Mohali,India
"Barabati Stadium, Cuttack",Barabati Stadium,Cuttack,India
Arbab Niaz Stadium,Arbab Niaz Stadium,Peshawar,Pakistan
Antigua Recreation Ground,Antigua Recreation Ground,St John's,Antigua and Barbuda
John Davies Oval,John Davies Oval,Queenstown,New Zealand
"Hazelaarweg, Rotterdam",Hazelaarweg,Rotterdam,Netherlands
"Sheikh Zayed Stadium, Abu Dhabi",Sheikh Zayed Stadium,Abu Dhabi,UAE
"National Cricket Stadium, St George's, Grenada",National Cricket Stadium,St George's,Grenada
"Sir Vivian Richards Stadium, North Sound, Antigua",Sir Vivian Richards Stadium,North Sound,Antigua and Barbuda
"The Cricket Field, Sedbergh School",The Cricket Field,Sedbergh,England
Welbeck Abbey Cricket Ground,Welbeck Abbey Cricket Ground,Welbeck,England
"Gorse Lane, Grantham",Gorse Lane,Grantham,England
"Castle Avenue, Dublin",Castle Avenue,Dublin,Ireland
Captain Roop Singh Stadium,Captain Roop Singh Stadium,Gwalior,India
Asgiriya Stadium,Asgiriya Stadium,Kandy,Sri Lanka
"Beausejour Stadium, Gros Islet",Beausejour Stadium,Gros Islet,Saint Lucia
Welagedara Stadium,Welagedara Stadium,Kurunegala,Sri Lanka
"Warner Park, Basseterre",Warner Park,Basseterre,Saint Kitts and Nevis
"Eden Park, Auckland",Eden Park,Auckland,New Zealand
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Mahinda Rajapaksa International Cricket Stadium,Sooriyawewa,Sri Lanka
Alur Cricket Stadium II,Alur Cricket Stadium,Alur,India
Reliance Cricket Stadium,Reliance Cricket Stadium,Vadodara,India
Narendra Modi Stadium,Narendra Modi Stadium,Ahmedabad,India
"Bay Oval, Mount Maunganui",Bay Oval,Mount Maunganui,New Zealand
"Eden Park Outer Oval, Auckland",Eden Park Outer Oval,Auckland,New Zealand
"Wanderers Cricket Ground, Windhoek",Wanderers Cricket Ground,Windhoek,Namibia
"The Wanderers Stadium, Johannesburg",The Wanderers Stadium,Johannesburg,South Africa
"Arun Jaitley Stadium, Delhi",Arun Jaitley Stadium,Delhi,India
Seebarn Cricket Centre,Seebarn Cricket Centre,Lower Austria,Austria
"North Sydney Oval, Sydney",North Sydney Oval,Sydney,Australia
"Saxton Oval, Nelson",Saxton Oval,Nelson,New Zealand
Old Deer Park,Old Deer Park,Richmond,England
"Botswana Cricket Association Oval 1, Gaborone",Botswana Cricket Association Oval 1,Gaborone,Botswana
"VRA Ground, Amstelveen",VRA Ground,Amstelveen,Netherlands
"Observatory Lane, Rathmines, Dublin",Observatory Lane,Dublin,Ireland
Chilaw Marians Cricket Club Ground,Chilaw Marians Cricket Club Ground,Colombo,Sri Lanka
Church Street Park,Church Street Park,Morrisville,USA
Colts Cricket Club Ground,Colts Cricket Club Ground,Colombo,Sri Lanka
"Castle Park Cricket Ground, Colchester",Castle Park Cricket Ground,Colchester,England
"University Oval, Hobart",University Oval,Hobart,Australia
"Drummoyne Oval, Sydney",Drummoyne Oval,Sydney,Australia
"Lilac Hill Park, Perth",Lilac Hill Park,Perth,Australia
"Eden Gardens, Kolkata",Eden Gardens,Kolkata,India
"ICC Academy Ground No 2, Dubai",ICC Academy Ground No 2,Dubai,UAE
"Nelson Park, Napier",Nelson Park,Napier,New Zealand
Lugogo Cricket Oval,Lugogo Cricket Oval,Kampala,Uganda
"Southend Club Cricket Stadium, Karachi",Southend Club Cricket Stadium,Karachi,Pakistan
Sheikh Zayed Stadium Nursery 1,Sheikh Zayed Stadium Nursery 1,Abu Dhabi,UAE
Zayed Cricket Stadium,Zayed Cricket Stadium,Abu Dhabi,UAE
Shaheed Chandu Stadium,Shaheed Chandu Stadium,Bogra,Bangladesh
Nahar Singh Stadium,Nahar Singh Stadium,Faridabad,India
Keenan Stadium,Keenan Stadium,Jamshedpur,India
Forthill,Forthill,Dundee,Scotland
St'Xavier's KCA Cricket Ground,St'Xavier's KCA Cricket Ground,Thiruvananthapuram,India
Greenfield Stadium,Greenfield International Stadium,Thiruvananthapuram,India
Takashinga Sports Club,Takashinga Sports Club,Harare,Zimbabwe
"Spytty Park, Newport",Spytty Park,Newport,Wales
Colwyn Bay Cricket Club Ground,Colwyn Bay Cricket Club Ground,Colwyn Bay,Wales
Santarem Cricket Ground,Santarem Cricket Ground,Santarem,Portugal
Mulpani Cricket Ground,Mulpani Cricket Ground,Kathmandu,Nepal
"Mission Road Ground, Mong Kok, Hong Kong",Mission Road Ground,Mong Kok,Hong Kong
Goldenacre,Goldenacre,Edinburgh,Scotland
"Church Street Park, Morrisville",Church Street Park,Morrisville,USA
"Bayuemas Oval, Kuala Lumpur",Bayuemas Oval,Kuala Lumpur,Malaysia
"The John Fretwell Sporting Complex, Sookholme",The John Fretwell Sporting Complex,Sookholme,England
Kibworth Cricket Club New Ground,Kibworth Cricket Club New Ground,Kibworth,England
"Sedgars Park, Potchefstroom",Sedgars Park,Potchefstroom,South Africa
Faleata Oval No 3,Faleata Oval No 3,Apia,Samoa
Guanggong International Cricket Stadium,Guanggong International Cricket Stadium,Guangzhou,China
Chevrolet Park,Chevrolet Park,Bloemfontein,South Africa
"Achimota Senior Secondary School B Field, Accra",Achimota Senior Secondary School B Field,Accra,Ghana
Star Stile,Star Stile,Hove,England
Thailand Cricket Ground,Thailand Cricket Ground,Bangkok,Thailand
"Mitchells and Butlers' Ground, Birmingham",Mitchells and Butlers' Ground,Birmingham,England
Coolidge Cricket Ground,Coolidge Cricket Ground,Antigua,Antigua and Barbuda
Oak Hill Cricket Club,Oak Hill Cricket Club,Wicklow,Ireland
The Hills Cricket Club Ground,The Hills Cricket Club Ground,Milverton,England
Skarpnack 1,Skarpnack 1,Stockholm,Sweden
Koge Cricket Club 2,Koge Cricket Club 2,Koge,Denmark
"TCA Oval, Blantyre",TCA Oval,Blantyre,Malawi
"Nigeria Cricket Federation Oval 1, Abuja",Nigeria Cricket Federation Oval 1,Abuja,Nigeria
"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Cricket Association IS Bindra Stadium,Mohali,India
"Shere Bangla National Stadium, Mirpur",Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
Manuka Oval,Manuka Oval,Canberra,Australia
"Senwes Park, Potchefstroom",Senwes Park,Potchefstroom,South Africa
North Sydney Oval No.2,North Sydney Oval,Sydney,Australia
"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium,Chennai,India
Casey Fields No. 4,Casey Fields No. 4,Melbourne,Australia
Docklands Stadium,Docklands Stadium,Melbourne,Australia
Allan Border Field,Allan Border Field,Brisbane,Australia
St George's Park,St George's Park,Gqeberha,South Africa
Hurstville Oval,Hurstville Oval,Sydney,Australia
Blacktown International Sportspark,Blacktown International Sportspark,Sydney,Australia
McLean Park,McLean Park,Napier,New Zealand
Mercantile Cricket Association Ground,Mercantile Cricket Association Ground,Melbourne,Australia
Dower Park,Dower Park,Melbourne,Australia
"Traeger Park, Alice Springs",Traeger Park,Alice Springs,Australia
"County Ground, Northampton",County Ground,Northampton,England
"Grace Road, Leicester",Grace Road,Leicester,England
"Sophia Gardens, Cardiff",Sophia Gardens,Cardiff,Wales
"County Ground, Derby",County Ground,Derby,England
Gymkhana Club,Gymkhana Club,Nairobi,Kenya
"Aigburth, Liverpool",Aigburth,Liverpool,England
"Welbeck Colliery Cricket Club Ground, Market Warsop",Welbeck Colliery Cricket Club Ground,Market Warsop,England
"Radlett Cricket Club, Radlett",Radlett Cricket Club,Radlett,England
"Kensington Oval, Barbados",Kensington Oval,Bridgetown,Barbados
"Zahur Ahmed Chowdhury Stadium, Chattogram",Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
"Western Australia Cricket Association Ground, Perth",Western Australia Cricket Association Ground,Perth,Australia
FTZ Sports Complex (BOI),FTZ Sports Complex,Colombo,Sri Lanka
Harare Sports Club,Harare Sports Club,Harare,Zimbabwe
"R.Premadasa Stadium, Khettarama",R.Premadasa Stadium,Colombo,Sri Lanka
Diamond Oval,Diamond Oval,Kimberley,South Africa
St Lawrence Ground,St Lawrence Ground,Canterbury,England
"Nevill Ground, Tunbridge Wells",Nevill Ground,Tunbridge Wells,England
Sportpark Maarschalkerweerd,Sportpark Maarschalkerweerd,Utrecht,Netherlands
"Bangabandhu National Stadium, Dhaka",Bangabandhu National Stadium,Dhaka,Bangladesh
"MA Aziz Stadium, Chittagong",MA Aziz Stadium,Chittagong,Bangladesh
"Nehru Stadium, Poona",Nehru Stadium,Pune,India
Vidarbha C.A. Ground,Vidarbha C.A. Ground,Nagpur,India
Sher-e-Bangla National Cricket Stadium,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
"Queen's Park, Chesterfield",Queen's Park,Chesterfield,England
"Svanholm Park, Brondby",Svanholm Park,Brondby,Denmark
"Takashinga Sports Club, Highfield, Harare",Takashinga Sports Club,Harare,Zimbabwe
"Moara Vlasiei Cricket Ground, Ilfov County",Moara Vlasiei Cricket Ground,Ilfov County,Romania
Chittagong Divisional Stadium,Chittagong Divisional Stadium,Chittagong,Bangladesh
Boland Park,Boland Park,Paarl,South Africa
Alur Cricket Stadium,Alur Cricket Stadium,Alur,India
Sri Ramachandra Medical College,Sri Ramachandra Medical College,Chennai,India
"Pukekura Park, New Plymouth",Pukekura Park,New Plymouth,New Zealand
Wanderers,Wanderers,Windhoek,Namibia
"Tribhuvan University International Cricket Ground, Kirtipur",Tribhuvan University International Cricket Ground,Kirtipur,Nepal
Boland Bank Park,Boland Bank Park,Paarl,South Africa
Bayuemas Oval,Bayuemas Oval,Kuala Lumpur,Malaysia
Greenfield International Stadium,Greenfield International Stadium,Thiruvananthapuram,India
Kerrydale Oval,Kerrydale Oval,Brisbane,Australia
"West End Park International Cricket Stadium, Doha",West End Park International Cricket Stadium,Doha,Qatar
"Aurora Stadium, Launceston",Aurora Stadium,Launceston,Australia
Gokaraju Liala Gangaaraju ACA Cricket Ground,Gokaraju Liala Gangaaraju ACA Cricket Ground,Mulapadu,India
"Sunrise Sports Club, Harare",Sunrise Sports Club,Harare,Zimbabwe
"Green Park, Kanpur",Green Park,Kanpur,India
"Fitzherbert Park, Palmerston North",Fitzherbert Park,Palmerston North,New Zealand
"Karori Park, Wellington",Karori Park,Wellington,New Zealand
"Maharashtra Cricket Association Stadium, Pune",Maharashtra Cricket Association Stadium,Pune,India
"Centre for Cricket Development Ground, Windhoek",Centre for Cricket Development Ground,Windhoek,Namibia
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
Lisicji Jarak Cricket Ground,Lisicji Jarak Cricket Ground,Belgrade,Serbia
Mannofield Park,Mannofield Park,Aberdeen,Scotland
Indian Petrochemicals Corporation Limited Sports Complex Ground,Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India
Sedbergh School,Sedbergh School,Sedbergh,England
Fitzherbert Park,Fitzherbert Park,Palmerston North,New Zealand
"Grainville, St Saviour, Jersey",Grainville,St Saviour,Jersey
"FB Fields, St Clement",FB Fields,St Clement,Jersey
"Sheikh Abu Naser Stadium, Khulna",Sheikh Abu Naser Stadium,Khulna,Bangladesh
"Belgrano Athletic Club Ground, Buenos Aires",Belgrano Athletic Club Ground,Buenos Aires,Argentina
Jawaharlal Nehru Stadium,Jawaharlal Nehru Stadium,Delhi,India
Waverley Oval,Waverley Oval,Sydney,Australia
Tony Ireland Stadium,Tony Ireland Stadium,Townsville,Australia
"Tony Ireland Stadium, Townsville",Tony Ireland Stadium,Townsville,Australia
"Blacktown International Sportspark, Sydney",Blacktown International Sportspark,Sydney,Australia
"Jadavpur University Campus 2nd Ground, Kolkata",Jadavpur University Campus 2nd Ground,Kolkata,India
"Grand Prairie Stadium, Dallas",Grand Prairie Stadium,Dallas,USA
"Nassau County International Cricket Stadium, New York",Nassau County International Cricket Stadium,New York,USA
Roma Cricket Ground,Roma Cricket Ground,Rome,Italy
"Guernsey Rovers Athletic Club Ground, Port Soif",Guernsey Rovers Athletic Club Ground,Port Soif,Guernsey
"New County Ground, Hove, Brighton",New County Ground,Hove,England
San Albano,San Albano,Buenos Aires,Argentina
"Casey Fields No 4, Melbourne",Casey Fields No 4,Melbourne,Australia
Johor Cricket Academy Oval,Johor Cricket Academy Oval,Johor,Malaysia
University of Dar-es-Salaam Ground,University of Dar-es-Salaam Ground,Dar-es-Salaam,Tanzania
"Zahur Ahmed Chowdhury Stadium, Chittagong",Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
Adelaide Oval,Adelaide Oval,Adelaide,Australia
"Diamond Oval, Kimberley",Diamond Oval,Kimberley,South Africa
Lavington Sports Oval,Lavington Sports Oval,Albury,Australia
Aurora Stadium,Aurora Stadium,Launceston,Australia
Lilac Hill Park,Lilac Hill Park,Perth,Australia
Sheikh Kamal International Cricket Stadium,Sheikh Kamal International Cricket Stadium,Cox's Bazar,Bangladesh
SuperSport Park,SuperSport Park,Centurion,South Africa
"Vidarbha Cricket Association Stadium, Jamtha",Vidarbha Cricket Association Stadium,Nagpur,India
Nondescripts Cricket Club Ground,Nondescripts Cricket Club Ground,Colombo,Sri Lanka
Kennards Hire Community Oval,Kennards Hire Community Oval,Sydney,Australia
"Kennington Oval, London",Kennington Oval,London,England
Willowmoore Park,Willowmoore Park,Benoni,South Africa
Feroz Shah Kotla,Arun Jaitley Stadium,Delhi,India
Prem Tinsulanonda International School,Prem Tinsulanonda International School,Chiang Mai,Thailand
Karen Rolton Oval,Karen Rolton Oval,Adelaide,Australia
Ted Summerton Reserve,Ted Summerton Reserve,Moe,Australia
ICC Academy,ICC Academy,Dubai,UAE
Southend Club Cricket Stadium,Southend Club Cricket Stadium,Karachi,Pakistan
"Daren Sammy National Cricket Stadium, St Lucia",Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex,Mulapadu,India
Lalbhai Contractor Stadium,Lalbhai Contractor Stadium,Surat,India
DRIEMS Ground,DRIEMS Ground,Cuttack,India
"Airforce Complex ground, Palam",Airforce Complex ground,Palam,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Cricket Ground,Brisbane,Australia
Punjab Cricket Association IS Bindra Stadium,Punjab Cricket Association IS Bindra Stadium,Mohali,India
"Willowmoore Park, Benoni",Willowmoore Park,Benoni,South Africa
Tack-Tec Ground,Tack-Tec Ground,Harare,Zimbabwe
The Vineyard,The Vineyard,Dublin,Ireland
"Bundaberg Rum Stadium, Cairns",Bundaberg Rum Stadium,Cairns,Australia
Carisbrook,Carisbrook,Dunedin,New Zealand
"Arnos Vale Ground, Kingstown",Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines
Madhavrao Scindia Cricket Ground,Madhavrao Scindia Cricket Ground,Rajkot,India
Jade Stadium,Jade Stadium,Christchurch,New Zealand
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
"Providence Stadium, Guyana",Providence Stadium,Providence,Guyana
La Manga Club Bottom Ground,La Manga Club Bottom Ground,La Manga,Spain
"Bradman Oval, Bowral",Bradman Oval,Bowral,Australia
Shere Bangla National Stadium,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
"Sardar Patel Stadium, Motera",Narendra Modi Stadium,Ahmedabad,India
Maple Leaf North-West Ground,Maple Leaf North-West Ground,King City,Canada
Jadavpur University Campus,Jadavpur University Campus,Kolkata,India
Motibaug Cricket Ground,Motibaug Cricket Ground,Vadodara,India
Sharad Pawar Cricket Academy BKC,Sharad Pawar Cricket Academy,Mumbai,India
"Hagley Oval, Christchurch",Hagley Oval,Christchurch,New Zealand
Maple Leaf South-West Ground,Maple Leaf South-West Ground,King City,Canada
Ovale di Rastignano,Ovale di Rastignano,Rastignano,Italy
Centro Sportivo Ca'Nova,Centro Sportivo Ca'Nova,Bologna,Italy
"Brunton Memorial Ground, Radlett",Brunton Memorial Ground,Radlett,England
Pierre Werner Cricket Ground,Pierre Werner Cricket Ground,Walferdange,Luxembourg
"Park 25 No 2, Adelaide",Park 25 No 2,Adelaide,Australia
Sportpark Westvliet,Sportpark Westvliet,The Hague,Netherlands
Tolerance Oval,Tolerance Oval,Abu Dhabi,UAE
Sir Paul Getty's Ground,Sir Paul Getty's Ground,Wormsley,England
Peter Burge Oval,Peter Burge Oval,Brisbane,Australia
"ACA Stadium, Barsapara",ACA Stadium,Guwahati,India
Yeonhui Cricket Ground,Yeonhui Cricket Ground,Incheon,South Korea
Selangor Turf Club,Selangor Turf Club,Kuala Lumpur,Malaysia
Bradman Oval,Bradman Oval,Bowral,Australia
"Colin Maiden Park, Auckland",Colin Maiden Park,Auckland,New Zealand
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Cricket Association IS Bindra Stadium,Mohali,India
"Malek Cricket Ground, Ajman",Malek Cricket Ground,Ajman,UAE
New Williamfield No1 Oval,New Williamfield No1 Oval,Stirling,Scotland
"Kyambogo Cricket Ground, Kampala",Kyambogo Cricket Ground,Kampala,Uganda
"Grainville, St Saviour",Grainville,St Saviour,Jersey
Tikkurila Cricket Ground,Tikkurila Cricket Ground,Vantaa,Finland
"Titwood, Glasgow",Titwood,Glasgow,Scotland
Khan Shaheb Osman Ali Stadium,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
ICC Academy Oval 2,ICC Academy Oval 2,Dubai,UAE
Bert Sutcliffe Oval,Bert Sutcliffe Oval,Lincoln,England
Titwood,Titwood,Glasgow,Scotland
Invermay Park,Invermay Park,Launceston,Australia
Nuriootpa Centennial Park,Nuriootpa Centennial Park,Nuriootpa,Australia
Pokhara Rangasala,Pokhara Rangasala,Pokhara,Nepal
LC de Villiers Oval,LC de Villiers Oval,Pretoria,South Africa
"The John Fretwell Sporting Complex, Nettleworth",The John Fretwell Sporting Complex,Nettleworth,England
"Chester Road North Ground, Kidderminster",Chester Road North Ground,Kidderminster,England
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajiv Gandhi International Cricket Stadium,Hyderabad,India
"Sir Paul Getty's Ground, Wormsley",Sir Paul Getty's Ground,Wormsley,England
Grand Prairie Stadium,Grand Prairie Stadium,Grand Prairie,USA
Turf City B Cricket Ground,Turf City B Cricket Ground,Singapore,Singapore
Vanuatu Cricket Ground (Oval 2),Vanuatu Cricket Ground (Oval 2),Port Vila,Vanuatu
Faleata Oval No 1,Faleata Oval No 1,Apia,Samoa
Faleata Oval No 2,Faleata Oval No 2,Apia,Samoa
"Cazaly's Stadium, Cairns",Cazaly's Stadium,Cairns,Australia
"St George's Park, Gqeberha",St George's Park,Gqeberha,South Africa
"Hurlingham Club Ground, Buenos Aires",Hurlingham Club Ground,Buenos Aires,Argentina
Kent County Cricket Ground,Kent County Cricket Ground,Canterbury,England
Los Reyes Polo Club,Los Reyes Polo Club,Unknown,Unknown
"Sportpark Westvliet, The Hague",Sportpark Westvliet,The Hague,Netherlands
West Mersea Cricket Club,West Mersea Cricket Club,West Mersea,England
Hare Field,Hare Field,Unknown,Unknown
VCA Ground,VCA Ground,Nagpur,India
Alembic 1 Cricket Ground,Alembic 1 Cricket Ground,Vadodara,India
Cobham Oval (New),Cobham Oval (New),Whangarei,New Zealand
"Forthill, Dundee",Forthill,Dundee,Scotland
"National Stadium, Hamilton",National Stadium,Hamilton,New Zealand
"Wright Cricket Field, Woodley Park",Wright Cricket Field,Los Angeles,USA
"Wong Cricket Field, Woodley Park",Wong Cricket Field,Los Angeles,USA
"Racecourse Ground, Derby",Racecourse Ground,Derby,England
"Marina Ground, Corfu",Marina Ground,Corfu,Greece
"Ruaraka Sports Club Ground, Nairobi",Ruaraka Sports Club Ground,Nairobi,Kenya
"Nigeria Cricket Federation Oval 2, Abuja",Nigeria Cricket Federation Oval 2,Abuja,Nigeria
Queens Sports Club,Queens Sports Club,Bulawayo,Zimbabwe
"Mangaung Oval, Bloemfontein",Mangaung Oval,Bloemfontein,South Africa
International Sports Stadium,International Sports Stadium,Unknown,Unknown
North Sydney Oval,North Sydney Oval,Sydney,Australia
Queen Elizabeth II Oval,Queen Elizabeth II Oval,Bendigo,Australia
Howell Oval,Howell Oval,Penrith,England
Saxton Oval,Saxton Oval,Nelson,New Zealand
Camberwell Sports Ground,Camberwell Sports Ground,Melbourne,Australia
New Wanderers Stadium,New Wanderers Stadium,Johannesburg,South Africa
Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium,Pune,India
Eden Gardens,Eden Gardens,Kolkata,India
P Sara Oval,P Sara Oval,Colombo,Sri Lanka
Colombo Cricket Club Ground,Colombo Cricket Club Ground,Colombo,Sri Lanka
Eden Park No 2,Eden Park No 2,Auckland,New Zealand
University Oval,University Oval,Dunedin,New Zealand
"St Lawrence Ground, Canterbury",St Lawrence Ground,Canterbury,England
Providence Stadium,Providence Stadium,Georgetown,Guyana
Cazaly's Stadium,Cazaly's Stadium,Cairns,Australia
Drummoyne Oval,Drummoyne Oval,Sydney,Australia
Holkar Stadium,Holkar Stadium,Indore,India
Rajiv Gandhi International Stadium,Rajiv Gandhi International Cricket Stadium,Hyderabad,India
"The Cooper Associates County Ground, Taunton",The Cooper Associates County Ground,Taunton,England
"Wankhede Stadium, Mumbai",Wankhede Stadium,Mumbai,India
"Merchant Taylors' School Ground, Northwood",Merchant Taylors' School Ground,Northwood,England
YMCA Cricket Club,YMCA Cricket Club,Dublin,Ireland
"County Ground, New Road",County Ground,Worcester,England
The Cooper Associates County Ground,The Cooper Associates County Ground,Taunton,England
Riverside Ground,Riverside Ground,Chester-le-Street,England
"The Village, Malahide, Dublin",The Village,Dublin,Ireland
"Pembroke Cricket Club, Sandymount",Pembroke Cricket Club,Dublin,Ireland
The Rose Bowl,The Rose Bowl,Southampton,England
The Kent County Cricket Ground,The Kent County Cricket Ground,Canterbury,England
"M Chinnaswamy Stadium, Bangalore",M Chinnaswamy Stadium,Bangalore,India
